"Employee number";"First name";"Last name";"Birth date";"Gender";"Job title";"Salary";"From date";"To date"
10073;"Shir";"McClurg";"23/02/1954";"M";"Engineer";56473;"02/02/1998";"22/02/1998"
10074;"Mokhtar";"Bernatsky";"28/08/1955";"F";"Technique Leader";61714;"10/08/2001";"01/01/9999"
10075;"Gao";"Dolinsky";"09/03/1960";"F";"Senior Engineer";43815;"14/05/2000";"15/01/2001"
10076;"Erez";"Ritzmann";"13/06/1952";"F";"Senior Engineer";47319;"14/07/2002";"01/01/9999"
10077;"Mona";"Azuma";"18/04/1964";"M";"Staff";40000;"21/12/2001";"01/01/9999"
10078;"Danel";"Mondadori";"25/12/1959";"F";"Engineer";47280;"27/09/2001";"01/01/9999"
10079;"Kshitij";"Gils";"05/10/1961";"F";"Technique Leader";53492;"11/12/2001";"01/01/9999"
10080;"Premal";"Baek";"03/12/1957";"M";"Senior Staff";54916;"26/09/2001";"01/01/9999"
10081;"Zhongwei";"Rosen";"17/12/1960";"M";"Engineer";55786;"26/10/2001";"01/01/9999"
10082;"Parviz";"Lortz";"09/09/1963";"M";"Staff";48935;"03/01/1990";"15/01/1990"
10083;"Vishv";"Zockler";"23/07/1959";"M";"Engineer";40000;"27/03/2002";"01/01/9999"
10084;"Tuval";"Kalloufi";"25/05/1960";"M";"Engineer";69811;"13/12/2001";"01/01/9999"
10085;"Kenroku";"Malabarba";"07/11/1962";"M";"Senior Engineer";40000;"06/04/2002";"01/01/9999"
10086;"Somnath";"Foote";"19/11/1962";"M";"Senior Staff";81613;"16/02/2002";"01/01/9999"
10087;"Xinglin";"Eugenio";"23/07/1959";"F";"Staff";96750;"07/05/2000";"09/01/2001"
10088;"Jungsoon";"Syrzycki";"25/02/1954";"F";"Senior Staff";65957;"30/08/2001";"01/01/9999"
10089;"Sudharsan";"Flasterstein";"21/03/1963";"F";"Senior Staff";56469;"07/01/2002";"01/01/9999"
10090;"Kendra";"Hofting";"30/05/1961";"M";"Senior Engineer";44978;"11/03/1999";"07/05/1999"
10091;"Amabile";"Gomatam";"04/10/1955";"M";"Engineer";40000;"16/11/2001";"01/01/9999"
10092;"Valdiodio";"Niizuma";"18/10/1964";"F";"Engineer";53977;"21/04/2002";"01/01/9999"
10093;"Sailaja";"Desikan";"11/06/1964";"M";"Staff";67856;"07/06/2002";"01/01/9999"
10094;"Arumugam";"Ossenbruggen";"25/05/1957";"F";"Senior Staff";58001;"15/04/1997";"08/11/1997"
10095;"Hilari";"Morton";"03/01/1965";"M";"Senior Staff";63668;"08/03/2002";"01/01/9999"
10096;"Jayson";"Mandell";"16/09/1954";"M";"Engineer";61395;"22/01/2002";"01/01/9999"
10097;"Remzi";"Waschkowski";"27/02/1952";"M";"Senior Staff";44886;"12/09/2001";"01/01/9999"
10098;"Sreekrishna";"Servieres";"23/09/1961";"F";"Engineer";40000;"11/05/1992";"11/12/1992"
10099;"Valter";"Sullins";"25/05/1956";"F";"Senior Staff";68781;"15/10/2001";"01/01/9999"
10100;"Hironobu";"Haraldson";"21/04/1953";"F";"Senior Staff";54398;"17/09/2001";"01/01/9999"
10101;"Perla";"Heyers";"15/04/1952";"F";"Staff";66591;"14/10/1999";"23/09/2000"
10102;"Paraskevi";"Luby";"04/11/1959";"F";"Assistant Engineer";44380;"31/12/2001";"01/01/9999"
10103;"Akemi";"Birch";"26/11/1953";"M";"Engineer";68158;"11/01/2002";"01/01/9999"
10104;"Xinyu";"Warwick";"19/11/1961";"M";"Senior Staff";45312;"12/04/2002";"01/01/9999"
10105;"Hironoby";"Piveteau";"05/02/1962";"M";"Staff";59258;"16/05/2001";"11/06/2001"
10106;"Eben";"Aingworth";"29/08/1952";"M";"Engineer";62928;"24/10/2001";"01/01/9999"
10107;"Dung";"Baca";"13/06/1956";"F";"Senior Staff";93159;"29/03/2002";"01/01/9999"
10108;"Lunjin";"Giveon";"07/04/1952";"M";"Staff";40000;"19/03/2001";"20/10/2001"
10109;"Mariusz";"Prampolini";"25/11/1958";"F";"Engineer";40000;"14/06/2002";"01/01/9999"
10110;"Xuejia";"Ullian";"07/03/1957";"F";"Senior Staff";46836;"18/08/2001";"01/01/9999"
10111;"Hugo";"Rosis";"29/08/1963";"F";"Engineer";40000;"16/12/2001";"01/01/9999"
10112;"Yuichiro";"Swick";"13/08/1963";"F";"Staff";49500;"30/04/2002";"01/01/9999"
10113;"Jaewon";"Syrzycki";"13/11/1963";"M";"Engineer";69856;"13/09/2001";"01/01/9999"
10114;"Munir";"Demeyer";"16/02/1957";"F";"Senior Staff";49593;"15/07/2002";"01/01/9999"
10115;"Chikara";"Rissland";"25/12/1964";"M";"Staff";40000;"02/03/1992";"24/05/1992"
10116;"Dayanand";"Czap";"26/08/1955";"F";"Senior Engineer";44034;"26/02/1998";"01/11/1998"
10117;"Kiyotoshi";"Blokdijk";"24/10/1961";"F";"Senior Engineer";52284;"17/03/2002";"01/01/9999"
10118;"Zhonghui";"Zyda";"29/03/1957";"F";"Senior Engineer";40000;"30/01/2002";"01/01/9999"
10119;"Domenick";"Peltason";"01/12/1960";"M";"Engineer";53551;"08/12/1996";"30/10/1997"
10120;"Armond";"Fairtlough";"26/03/1960";"F";"Engineer";46292;"05/07/2002";"01/01/9999"
10121;"Guoxiang";"Ramsay";"14/07/1962";"M";"Engineer";43772;"30/04/2002";"01/01/9999"
10122;"Ohad";"Esposito";"19/01/1965";"M";"Technique Leader";42284;"05/08/2001";"01/01/9999"
10123;"Hinrich";"Randi";"12/05/1962";"M";"Assistant Engineer";71524;"13/01/2002";"01/01/9999"
10124;"Geraldo";"Marwedel";"23/05/1962";"M";"Engineer";40583;"02/09/2001";"01/01/9999"
10125;"Syozo";"Hiltgen";"13/09/1957";"F";"Staff";58249;"25/10/1995";"25/03/1996"
10126;"Kayoko";"Valtorta";"07/08/1954";"M";"Senior Staff";40000;"04/09/2001";"01/01/9999"
10127;"Subir";"Baja";"24/02/1952";"F";"Senior Engineer";40000;"14/05/2002";"01/01/9999"
10128;"Babette";"Lamba";"15/02/1958";"F";"Senior Staff";40000;"03/06/2002";"01/01/9999"
10129;"Armond";"Peir";"02/12/1955";"M";"Technique Leader";40000;"14/01/2002";"01/01/9999"
10130;"Nishit";"Casperson";"27/04/1955";"M";"Senior Engineer";40000;"18/06/2002";"01/01/9999"
10131;"Magdalena";"Eldridge";"19/02/1952";"M";"Engineer";48475;"17/09/1999";"06/12/1999"
10132;"Ayakannu";"Skrikant";"15/12/1956";"M";"Staff";61590;"17/06/2002";"01/01/9999"
10133;"Giri";"Isaak";"12/12/1963";"M";"Engineer";40000;"11/12/2001";"01/01/9999"
10134;"Diederik";"Siprelle";"15/04/1953";"M";"Engineer";40000;"08/12/2001";"01/01/9999"
10135;"Nathan";"Monkewich";"23/12/1956";"M";"Assistant Engineer";40000;"01/01/2002";"01/01/9999"
10136;"Zissis";"Pintelas";"14/09/1961";"M";"Senior Staff";82420;"11/06/1999";"20/09/1999"
10137;"Maren";"Hutton";"30/07/1959";"M";"Senior Staff";40000;"14/02/2002";"01/01/9999"
10138;"Perry";"Shimshoni";"24/04/1955";"M";"Engineer";53574;"01/03/2002";"01/01/9999"
10139;"Ewing";"Foong";"03/03/1963";"F";"Engineer";40000;"14/03/2002";"01/01/9999"
10140;"Yucel";"Auria";"11/03/1957";"F";"Senior Staff";61352;"11/03/2002";"01/01/9999"
10141;"Shahaf";"Ishibashi";"17/01/1960";"F";"Senior Staff";62907;"22/07/2002";"01/01/9999"
10142;"Tzvetan";"Hettesheimer";"29/08/1956";"M";"Engineer";40000;"26/10/2001";"01/01/9999"
10143;"Sakthirel";"Bakhtari";"16/07/1961";"M";"Engineer";40000;"27/09/2001";"01/01/9999"
10144;"Marla";"Brendel";"17/06/1959";"M";"Senior Staff";56720;"12/10/1992";"10/08/1993"
10145;"Akemi";"Esposito";"30/03/1956";"F";"Engineer";47612;"02/11/2001";"01/01/9999"
10146;"Chenyi";"Syang";"12/01/1959";"M";"Staff";60394;"28/06/1990";"07/09/1990"
10147;"Kazuhito";"Encarnacion";"13/10/1964";"M";"Senior Staff";40000;"14/12/2001";"01/01/9999"
10148;"Douadi";"Azumi";"04/10/1957";"M";"Staff";63021;"14/07/2002";"01/01/9999"
10149;"Xiadong";"Perry";"20/05/1953";"F";"Staff";88740;"28/01/1996";"27/08/1996"
10150;"Zhenbing";"Perng";"29/01/1955";"F";"Engineer";70122;"12/11/2001";"01/01/9999"
10151;"Itzchak";"Lichtner";"06/03/1959";"M";"Senior Staff";90741;"10/12/2001";"01/01/9999"
10152;"Jaques";"Munro";"01/12/1954";"F";"Engineer";40000;"27/01/1987";"03/08/1987"
10153;"Heekeun";"Majewski";"15/12/1955";"M";"Assistant Engineer";54246;"07/01/2002";"01/01/9999"
10154;"Abdulah";"Thibadeau";"17/01/1957";"F";"Staff";40000;"22/10/2001";"01/01/9999"
10155;"Adas";"Nastansky";"07/12/1959";"M";"Senior Staff";40040;"02/01/2002";"01/01/9999"
10156;"Sumali";"Fargier";"19/09/1964";"M";"Engineer";49879;"12/05/2002";"01/01/9999"
10157;"Nigel";"Aloisi";"23/04/1954";"M";"Senior Engineer";48770;"09/12/2001";"01/01/9999"
10158;"Khedija";"Mitsuhashi";"01/04/1958";"M";"Engineer";40725;"31/05/2002";"01/01/9999"
10159;"Serif";"Buescher";"03/03/1955";"M";"Senior Engineer";52881;"11/06/2002";"01/01/9999"
10160;"Debatosh";"Khasidashvili";"18/10/1953";"M";"Senior Staff";91622;"04/12/2001";"01/01/9999"
10161;"Hairong";"Mellouli";"06/04/1953";"F";"Engineer";43149;"08/06/1993";"05/01/1994"
10162;"Florina";"Eugenio";"05/10/1957";"M";"Engineer";40000;"26/05/2002";"01/01/9999"
10163;"Karsten";"Szmurlo";"17/09/1952";"M";"Senior Staff";41603;"30/01/2002";"01/01/9999"
10164;"Jagoda";"Braunmuhl";"19/01/1956";"M";"Engineer";52043;"16/10/2001";"01/01/9999"
10165;"Miyeon";"Macedo";"16/06/1960";"M";"Senior Staff";43991;"14/05/2002";"01/01/9999"
10166;"Samphel";"Siegrist";"10/05/1953";"F";"Engineer";51586;"01/09/2001";"01/01/9999"
10167;"Duangkaew";"Rassart";"23/05/1958";"M";"Engineer";56990;"02/04/2002";"01/01/9999"
10168;"Dharmaraja";"Stassinopoulos";"11/09/1964";"M";"Senior Staff";51818;"02/12/2001";"01/01/9999"
10169;"Sampalli";"Snedden";"03/05/1961";"F";"Engineer";70303;"27/06/2002";"01/01/9999"
10170;"Kasturi";"Jenevein";"03/10/1960";"F";"Engineer";47183;"01/01/1989";"06/02/1989"
10171;"Herbert";"Trachtenberg";"11/09/1957";"M";"Technique Leader";41311;"04/08/2001";"01/01/9999"
10172;"Shigeu";"Matzen";"25/03/1957";"F";"Engineer";41197;"03/02/2002";"01/01/9999"
10173;"Shrikanth";"Mahmud";"28/10/1962";"M";"Senior Staff";85757;"19/03/2002";"01/01/9999"
10174;"Badri";"Furudate";"15/05/1959";"M";"Engineer";59520;"28/05/2002";"01/01/9999"
10175;"Aleksandar";"Ananiadou";"11/01/1960";"F";"Staff";72285;"23/09/1994";"24/05/1995"
10176;"Brendon";"Lenart";"24/01/1957";"F";"Senior Staff";54635;"20/12/2001";"01/01/9999"
10177;"Pragnesh";"Iisaka";"08/11/1954";"M";"Staff";48041;"06/02/1994";"17/03/1994"
10178;"Valery";"Litvinov";"13/03/1963";"M";"Staff";50568;"19/03/2002";"01/01/9999"
10179;"Deniz";"Duclos";"25/11/1961";"F";"Engineer";40000;"24/01/2002";"01/01/9999"
10180;"Shaw";"Wendorf";"29/01/1956";"M";"Senior Staff";52444;"29/06/2002";"01/01/9999"
10181;"Sibyl";"Nooteboom";"22/01/1963";"M";"Senior Engineer";40000;"19/06/2002";"01/01/9999"
10182;"Moriyoshi";"Merey";"04/02/1961";"F";"Engineer";40380;"30/08/2001";"01/01/9999"
10183;"Mechthild";"Bonifati";"17/10/1954";"M";"Staff";40000;"10/08/2001";"01/01/9999"
10184;"Mihalis";"Lowrie";"22/05/1957";"M";"Staff";48586;"25/12/2001";"01/01/9999"
10185;"Duro";"Sidhu";"05/12/1959";"F";"Senior Staff";68334;"25/02/2002";"01/01/9999"
10186;"Shigehito";"Kropatsch";"16/07/1953";"M";"Staff";40000;"25/12/1996";"16/08/1997"
10187;"Tommaso";"Narwekar";"26/05/1961";"F";"Senior Staff";71454;"29/05/2002";"01/01/9999"
10188;"Christ";"Muchinsky";"13/07/1956";"F";"Senior Engineer";62365;"23/08/2001";"01/01/9999"
10189;"Khalid";"Erva";"12/11/1955";"M";"Engineer";41222;"13/09/1992";"29/06/1993"
10190;"Arve";"Fairtlough";"11/12/1964";"F";"Engineer";40000;"19/06/2002";"01/01/9999"
10191;"Zdislav";"Nastansky";"08/04/1959";"M";"Senior Engineer";40000;"05/04/2002";"01/01/9999"
10192;"Mohua";"Falck";"16/09/1960";"M";"Engineer";40000;"10/06/2002";"01/01/9999"
10193;"Masaru";"Cheshire";"29/06/1960";"M";"Engineer";48733;"20/09/2001";"01/01/9999"
10194;"Josyula";"Hofmeyr";"29/01/1954";"F";"Senior Staff";64941;"13/02/2002";"01/01/9999"
10195;"Annemarie";"Redmiles";"13/11/1963";"M";"Engineer";40000;"11/02/2001";"14/04/2001"
10196;"Marc";"Hellwagner";"27/01/1954";"M";"Staff";86671;"30/01/2002";"01/01/9999"
10197;"Kasidit";"Krzyzanowski";"06/08/1963";"F";"Engineer";40000;"26/06/2002";"01/01/9999"
10198;"Pranav";"Furedi";"28/05/1953";"M";"Engineer";44076;"27/08/2001";"01/01/9999"
10199;"Kazuhisa";"Ranta";"07/04/1959";"M";"Staff";42042;"06/02/2002";"01/01/9999"
10200;"Vidya";"Awdeh";"31/12/1961";"M";"Engineer";46879;"15/02/2002";"01/01/9999"
